iter	RMSE
287	0.2026450981
288	0.2021895556
289	0.2015048996
290	0.2008668132
291	0.2003075166
292	0.199748117
293	0.1988147916
294	0.1982965772
295	0.1978717667
296	0.1969713317
297	0.1960944579
298	0.1955713316
299	0.1952164407
300	0.1947408193
301	0.1942308577
302	0.1934915623
303	0.1926309509
304	0.1920899764
305	0.1915344386
306	0.1903391977
307	0.1900020881
308	0.1895685718
309	0.189052366
310	0.1887359922
311	0.1879348671
312	0.1873691562
313	0.1870006264
314	0.186482831
315	0.1861588894
316	0.1852226892
317	0.1846749986
318	0.18398829
319	0.1836748509
320	0.1828927077
321	0.1823639251
322	0.1815306062
323	0.181053912
324	0.1803048198
325	0.1797831513
326	0.1793193839
327	0.1788934847
328	0.1783874424
329	0.177221678
330	0.1766370079
331	0.1761481857
332	0.1750992277
333	0.1740707604
334	0.1737812894
335	0.1731970004
336	0.1727905171
337	0.1719920188
338	0.1708922711
339	0.1705203998
340	0.1695363523
341	0.1684831557
342	0.1679424141
343	0.1673356223
344	0.1663088927
345	0.1657882236
346	0.1654298692
347	0.1644536435
348	0.1641061271
349	0.1631141773
350	0.1628784653
351	0.1623033407
352	0.1619671118
353	0.1609719636
354	0.1606618189
355	0.1603354716
356	0.1598268141
357	0.159600632
358	0.1587178966
359	0.1584960233
360	0.1581807648
361	0.1579626937
362	0.1572769493
363	0.1570616927
364	0.1563896102
365	0.1561688065
366	0.1555113822
367	0.1546222733
368	0.1544104
369	0.1541180638
370	0.1535391409
371	0.1526747457
372	0.1517604985
373	0.1511143992
374	0.1506180026
375	0.1502754046
376	0.149413413
377	0.148633939
378	0.1484289039
379	0.1475691627
380	0.1470537402
381	0.1468552761
382	0.1466610819
383	0.1459120362
384	0.1454185432
385	0.1448492164
386	0.1445709722
387	0.1442977499
388	0.1440792396
389	0.1438951747
390	0.143464892
391	0.1427439952
392	0.1424803633
393	0.1416995765
394	0.1410035285
395	0.1408251706
396	0.1404179419
397	0.140252734
398	0.1400786631
399	0.1398711722
400	0.1395877187
401	0.1390036357
402	0.1387137613
403	0.1384313235
404	0.1378958007
405	0.1374064262
406	0.1370642683
407	0.1368166276
408	0.1362867494
409	0.1359549857
410	0.135498623
411	0.1350532258
412	0.134899021
413	0.1343562552
414	0.1336349379
415	0.133485746
416	0.1329851563
417	0.1324696427
418	0.1321563359
419	0.1314688806
420	0.1310631625
421	0.1304653702
422	0.129801249
423	0.1295457996
424	0.1291052148
425	0.1286120733
426	0.1281115718
427	0.1274667102
428	0.1271740739
429	0.126888323
430	0.1266625055
431	0.1263849046
432	0.1257300575
433	0.1252774465
434	0.1250084922
435	0.1244574452
436	0.1239840521
437	0.1235414121
438	0.123081025
439	0.1228657876
440	0.1222672243
441	0.1217024833
442	0.121569825
443	0.1211469052
444	0.1209377387
445	0.1203028778
446	0.1200498396
447	0.1194750071
448	0.1190929654
449	0.1186631874
450	0.1180580899
451	0.1176516788
452	0.1172831688
453	0.1166838172
454	0.1164861176
455	0.1161015556
456	0.1157469825
457	0.115364393
458	0.1151315278
459	0.1147379867
460	0.1145502473
461	0.1141647957
462	0.1139420362
463	0.1135375259
464	0.1130046892
465	0.1126099255
466	0.1123962273
467	0.1119507213
468	0.1115702233
469	0.1110632833
470	0.1107838938
471	0.1106072165
472	0.1100359953
473	0.109539402
474	0.1093670667
475	0.1088137571
476	0.1083689893
477	0.1079344455
478	0.1077670363
479	0.1073353035
480	0.1068106359
481	0.1062999385
482	0.1059596916
483	0.1056260481
484	0.1052690236
485	0.1050176402
486	0.1046578222
487	0.1044056384
488	0.1042107145
489	0.1039404557
490	0.1035915983
491	0.1032496327
492	0.1028004669
493	0.1025566427
494	0.10239944
495	0.1020773878
496	0.1018270177
497	0.1013925716
498	0.101079494
499	0.1009293121
500	0.100622715
501	0.1004764033
502	0.1002147696
503	0.09998734002
504	0.09975096119
505	0.09937467405
506	0.09914238426
507	0.09891431052
508	0.09854613447
509	0.09831558877
510	0.097901163
511	0.09765271229
512	0.09743052592
513	0.09707502562
514	0.09685668279
515	0.09645476172
516	0.09617024106
517	0.09594955867
518	0.09573302827
519	0.0955996482
520	0.09546900889
521	0.09520150012
522	0.09487068306
523	0.09465893923
524	0.09445131907
525	0.09424324505
526	0.09403909818
527	0.09391470356
528	0.0937102872
529	0.09332423924
530	0.09312276881
531	0.09296395111
532	0.09256346366
533	0.09225231271
534	0.09209869198
535	0.09194992079
536	0.09180271455
537	0.09144564001
538	0.09124900752
539	0.09089947756
540	0.09055673446
541	0.09022063324
542	0.08991031109
543	0.08963296596
544	0.08936438895
545	0.08903769748
546	0.08882626745
547	0.08861763276
548	0.08841175559
549	0.08810958208
550	0.08781336985
551	0.08760949099
552	0.08740830735
553	0.08720978258
554	0.08701388094
555	0.08673115744
556	0.08653814484
557	0.08624749986
558	0.08605668336
559	0.08576725756
560	0.08549532011
561	0.08530665964
562	0.08496638868
563	0.08469194435
564	0.08450579968
565	0.08446698604
566	0.08428335481
567	0.08393724347
568	0.08359978166
569	0.08332139998
570	0.08328405369
571	0.08309055128
572	0.08291201339
573	0.08273584652
574	0.08241183007
575	0.08223592125
576	0.08219981107
577	0.08216436759
578	0.0818579768
579	0.08152591624
580	0.08149164538
581	0.08130972964
582	0.08127606094
583	0.08104529847
584	0.08101266522
585	0.08098062625
586	0.08081950143
587	0.08064157124
588	0.08045705079
589	0.08027695139
590	0.08024541253
591	0.0799671518
592	0.07981008073
593	0.07965559423
594	0.07962470573
595	0.07932450486
596	0.07929382303
597	0.07912844283
598	0.07877222045
599	0.07859952739
600	0.07823003794
601	0.07820843269
602	0.07817907881
603	0.07815025788
604	0.07799941453
605	0.077874382
606	0.07773718537
607	0.07770905887
608	0.07754340766
609	0.07744090167
610	0.07730691131
611	0.07716094864
612	0.07692235804
613	0.07663719146
614	0.07661659375
615	0.0764726904
616	0.0761743762
617	0.0760559661
618	0.07577718187
619	0.07568689724
620	0.07558915634
621	0.07528898247
622	0.07517127097
623	0.07484486028
624	0.07471063207
625	0.07461354088
626	0.07448755942
627	0.07434902475
628	0.0741249306
629	0.07398838138
630	0.07365148496
631	0.07332678804
632	0.07303398398
633	0.07279188706
634	0.07246371002
635	0.07238048871
636	0.07214385829
637	0.07186377322
638	0.07175469171
639	0.07152200338
640	0.07150294151
641	0.07124926492
642	0.07116966037
643	0.07115130336
644	0.07088142863
645	0.07079179908
646	0.07055023717
647	0.07032314614
648	0.0703052179
649	0.07005695879
650	0.07003309019
651	0.06972286068
652	0.06946850331
653	0.0692270158
654	0.06899064517
655	0.06874480285
656	0.06846697617
657	0.06826907311
658	0.06812341864
659	0.06810048644
660	0.06785770786
661	0.06784084619
662	0.06781865384
663	0.06752361319
664	0.0673307685
665	0.06710222389
666	0.06696335568
667	0.06665612515
668	0.06637272824
669	0.06611035519
670	0.0658792281
671	0.06564740685
672	0.06539277924
673	0.06514362231
674	0.06499951962
675	0.06469533274
676	0.06454030135
677	0.06430003784
678	0.06416749762
679	0.06402718764
680	0.06394462071
681	0.06365567709
682	0.06354685635
683	0.06341656118
684	0.06318797845
685	0.06308944511
686	0.06299328171
687	0.06288782331
688	0.06281921332
689	0.06268502301
690	0.06261803085
691	0.06240907316
692	0.06234377021
693	0.06208723959
694	0.0619088083
695	0.06184575561
696	0.06182978214
697	0.06181407514
698	0.06179862992
699	0.0616353254
700	0.06146146182
701	0.06124756192
702	0.06104485201
703	0.06102986382
704	0.06090241677
705	0.06088763708
706	0.06068824378
707	0.06052518732
708	0.06033956466
709	0.06032522227
710	0.06018689984
711	0.05999307826
712	0.05975267044
713	0.05959832527
714	0.05925530423
715	0.05919790834
716	0.05914186813
717	0.05891679206
718	0.05886267484
719	0.05880982929
720	0.05875822321
721	0.05855752188
722	0.05837397689
723	0.05818053194
724	0.05812974502
725	0.0579345707
726	0.05775554136
727	0.05770565652
728	0.05765693423
729	0.05746763857
730	0.05742466924
731	0.05723401892
732	0.0571925718
733	0.05715198731
734	0.05710497135
735	0.05690204998
736	0.05670298326
737	0.05651839932
738	0.05633934248
739	0.05616052853
740	0.0559642033
741	0.0557771156
742	0.05561836784
743	0.05545562653
744	0.05534547045
745	0.05512692414
746	0.0549459232
747	0.05472594237
748	0.05454973051
749	0.05445150734
750	0.05440416928
751	0.05430877178
752	0.05413794408
753	0.05393206519
754	0.05376027616
755	0.05371401147
756	0.05351461909
757	0.05341724628
758	0.05324993889
759	0.05315856116
760	0.05292763747
761	0.05273780193
762	0.05269899153
763	0.05253569108
764	0.05249061789
765	0.05240913661
766	0.05221957678
767	0.05218291158
768	0.05207712396
769	0.05200017122
770	0.05184202195
771	0.05178045801
772	0.05162575645
773	0.05152461406
774	0.0514359312
775	0.0512847458
776	0.05110120197
777	0.05102202582
778	0.05093679673
779	0.05087811712
780	0.05066407344
781	0.05052017123
782	0.05049250994
783	0.05043628436
784	0.05029015458
785	0.05025702111
786	0.05022471145
787	0.05017072739
788	0.05011754598
789	0.05004139287
790	0.04990621863
791	0.04972884605
792	0.04952962439
793	0.04947783138
794	0.0493957099
795	0.04934845207
796	0.04921244807
797	0.04912307728
798	0.04892222376
799	0.0487906262
800	0.04873881658
801	0.04860971289
802	0.04855883685
803	0.048386833
804	0.04831365591
805	0.0481196659
806	0.04799093515
807	0.04783030209
808	0.04774463895
809	0.04771495581
810	0.04758912467
811	0.0475671022
812	0.04748892069
813	0.04740808097
814	0.04731152173
815	0.04723230344
816	0.04704902342
817	0.04690130893
818	0.04674070637
819	0.04667198215
820	0.04659471419
821	0.04642334104
822	0.04618291877
823	0.04606408113
824	0.04602263323
825	0.04586494667
826	0.04579856241
827	0.04572351314
828	0.04556891524
829	0.04546953538
830	0.04537251518
831	0.04527779156
832	0.04512462164
833	0.0450527434
834	0.04496164759
835	0.0448884746
836	0.04481594079
837	0.04466567226
838	0.04451869142
839	0.044394397
840	0.04428338463
841	0.04421815637
842	0.04416802045
843	0.04404316873
844	0.04401948298
845	0.04389844302
846	0.04377671493
847	0.04365790414
848	0.04361205884
849	0.04339961729
850	0.04325831601
851	0.04312580796
852	0.04305885901
853	0.04292958661
854	0.04272369647
855	0.04262152097
856	0.04257353827
857	0.04245882004
858	0.04233509354
859	0.04222177407
860	0.04213797064
861	0.04209300744
862	0.04204892329
863	0.04200570003
864	0.04187121053
865	0.04182496616
866	0.04171457126
867	0.04158646459
868	0.04154438744
869	0.0413830735
870	0.0412245323
871	0.04109468893
872	0.04102619107
873	0.04095952294
874	0.04091439501
875	0.04078838809
876	0.04063285926
877	0.04062083433
878	0.04045206842
879	0.04034930256
880	0.04030591507
881	0.04015342821
882	0.04002889387
883	0.03990719236
884	0.03979800724
885	0.03969094587
886	0.0395199682
887	0.03936374205
888	0.03919256999
889	0.0391536857
890	0.03914225883
891	0.03910414065
892	0.03909289488
893	0.03900861753
894	0.03897119576
895	0.03888846689
896	0.03872600733
897	0.03871485977
898	0.03858856969
899	0.03844770632
900	0.03832365833
901	0.03821989426
902	0.03808328643
903	0.03796175874
904	0.03791978301
905	0.0378787394
906	0.03772722028
907	0.03760657904
908	0.0374890452
909	0.03738932228
910	0.03725970931
911	0.03716305465
912	0.03699201485
913	0.03695197221
914	0.03687911695
915	0.03681652852
916	0.03672191329
917	0.03668293275
918	0.03662124984
919	0.03658316283
920	0.03649508369
921	0.03635367281
922	0.03631652248
923	0.03623048259
924	0.03616980687
925	0.0360731292
926	0.03603705179
927	0.03594527164
928	0.03590991715
929	0.03585002376
930	0.03571782923
931	0.03558590259
932	0.03550678015
933	0.03547199996
934	0.03543795344
935	0.03535452679
936	0.03532118641
937	0.03528854245
938	0.03518861218
939	0.03515660316
940	0.03507930421
941	0.03500351776
942	0.03489395503
943	0.03488289659
944	0.03476300995
945	0.03464589054
946	0.03451903236
947	0.03438458921
948	0.03429345014
949	0.03419549681
950	0.03418500103
951	0.03415255512
952	0.03406365395
953	0.03393207576
954	0.03383664862
955	0.03370907135
956	0.03356356303
957	0.03355327874
958	0.03346689821
959	0.03334306189
960	0.03325144571
961	0.03318910778
962	0.03309913057
963	0.03301861786
964	0.03300856288
965	0.03292513962
966	0.0328051686
967	0.03268831151
968	0.03260084606
969	0.03247167406
970	0.03233608618
971	0.03232897945
972	0.03222470329
973	0.0322058856
974	0.03210383146
975	0.03201973643
976	0.03195373257
977	0.03187114562
978	0.03177202007
979	0.03176515382
980	0.03163817222
981	0.03157483632
982	0.0315363872
983	0.03143835526
984	0.03137976396
985	0.03137300142
986	0.03129537766
987	0.03127131868
988	0.03119532156
989	0.03118861619
990	0.03106684073
991	0.03105769104
992	0.03098692245
993	0.03095604817
994	0.03089538264
995	0.03082182098
996	0.03074197792
997	0.03071153249
998	0.03055841171
999	0.03052178463
